year,stateabbrev,WRLURI,planner,luPcCum,roll2005t
1998,"AR",-.7757698,10,.8029578,
1999,"AR",-.7757698,10,.7931379,
2000,"AR",-.7757698,10,.7931379,
2001,"AR",-.7757698,10,.7367515,
2002,"AR",-.7757698,10,.7692723,
2003,"AR",-.7757698,10,.9120594,
2004,"AR",-.7757698,10,.7516757,
2005,"AR",-.7757698,10,.8955038,11
2006,"AR",-.7757698,10,.8497456,
2007,"AR",-.7757698,10,.8815089,
2008,"AR",-.7757698,10,.8683549,
2009,"AR",-.7757698,10,.8964971,
2010,"AR",-.7757698,10,.9649526,
1880,"AZ",.7824563,7,,
1900,"AZ",.7824563,7,,
1920,"AZ",.7824563,7,,
1929,"AZ",.7824563,7,,
1930,"AZ",.7824563,7,,
1931,"AZ",.7824563,7,,
1932,"AZ",.7824563,7,,
1933,"AZ",.7824563,7,,
1934,"AZ",.7824563,7,,
1935,"AZ",.7824563,7,,
1936,"AZ",.7824563,7,,
1937,"AZ",.7824563,7,,
1938,"AZ",.7824563,7,,
1939,"AZ",.7824563,7,,
1940,"AZ",.7824563,7,0,
1941,"AZ",.7824563,7,0,
1942,"AZ",.7824563,7,0,
1943,"AZ",.7824563,7,0,
1944,"AZ",.7824563,7,0,
1945,"AZ",.7824563,7,0,
1946,"AZ",.7824563,7,0,
1947,"AZ",.7824563,7,0,
1948,"AZ",.7824563,7,0,
1949,"AZ",.7824563,7,0,
1950,"AZ",.7824563,7,0,
1951,"AZ",.7824563,7,.1273885,
1952,"AZ",.7824563,7,.1273885,
1953,"AZ",.7824563,7,.1273885,
1954,"AZ",.7824563,7,.1273885,
1955,"AZ",.7824563,7,.1273885,
1956,"AZ",.7824563,7,.1273885,
1957,"AZ",.7824563,7,.1273885,
1958,"AZ",.7824563,7,.1273885,
1959,"AZ",.7824563,7,.1273885,
1960,"AZ",.7824563,7,.2030888,
1961,"AZ",.7824563,7,.1467734,
1962,"AZ",.7824563,7,.2147544,
1963,"AZ",.7824563,7,.2805006,
1964,"AZ",.7824563,7,.2805006,
1965,"AZ",.7824563,7,.2805006,
1966,"AZ",.7824563,7,.4044163,
1967,"AZ",.7824563,7,.4044163,
1968,"AZ",.7824563,7,.4638694,
1969,"AZ",.7824563,7,.5790104,
1970,"AZ",.7824563,7,.6147363,
1971,"AZ",.7824563,7,.5964027,
1972,"AZ",.7824563,7,.6279813,
1973,"AZ",.7824563,7,.5622351,
1974,"AZ",.7824563,7,.6071922,
1975,"AZ",.7824563,7,.7821437,
1976,"AZ",.7824563,7,.9137672,
1977,"AZ",.7824563,7,.954965,
1978,"AZ",.7824563,7,1.014661,
1979,"AZ",.7824563,7,.9753186,
1980,"AZ",.7824563,7,1.009997,
1981,"AZ",.7824563,7,1.0996,
1982,"AZ",.7824563,7,1.000041,
1983,"AZ",.7824563,7,1.101087,
1984,"AZ",.7824563,7,1.121338,
1985,"AZ",.7824563,7,1.103444,
1986,"AZ",.7824563,7,.9990417,
1987,"AZ",.7824563,7,1.074221,
