	(1)	(2)	(3)	(4)	(5)
	1	2	3	4	5
VARIABLES	netMig	netMig	netMig	netMig	netMig
					
lincShared	-2.173**	-2.173**	-2.456***	-2.377***	0.281
	(1.006)	(1.006)	(0.792)	(0.757)	(8.453)
Constant	25.14**	25.14**	27.72***	27.09***	21.27
	(11.46)	(11.46)	(8.749)	(8.589)	(93.85)
					
Observations	1,018	1,018	1,018	1,018	1,018
R-squared	0.003	0.003	0.029	0.007	0.000
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
