	(1)	(2)	(3)	(4)	(5)
	1	2	3	4	5
VARIABLES	netMig	netMig	netMig	netMig	netMig
					
lr	4.309**	6.042***	-0.357	1.725	-11.99
	(2.007)	(2.140)	(1.167)	(1.418)	(11.51)
Constant	-45.87**	-63.58***	4.164	-18.04	153.3
	(21.82)	(22.84)	(12.63)	(15.35)	(124.6)
					
Observations	1,018	1,018	1,018	1,018	1,018
R-squared	0.007	0.017	0.000	0.002	0.010
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
