	(1)	(2)	(3)	(4)	(5)
	1	2	3	4	5
VARIABLES	netMig	netMig	netMig	netMig	netMig
					
lr	0.773*	0.899**	0.905*	0.821*	0.701
	(0.400)	(0.337)	(0.462)	(0.415)	(0.513)
Constant	-7.518*	-8.516***	-8.854*	-8.004*	-6.780
	(3.846)	(3.127)	(4.461)	(3.994)	(4.899)
					
Observations	466	462	466	466	465
R-squared	0.014	0.020	0.018	0.015	0.013
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
