	(1)	(2)	(3)	(4)	(5)
	1	2	3	4	5
VARIABLES	netMig	netMig	netMig	netMig	netMig
					
lr	4.715***	3.634***	1.937***	3.593***	14.06***
	(0.894)	(1.280)	(0.701)	(0.874)	(4.567)
Constant	-53.71***	-40.74***	-21.95***	-40.84***	-145.5***
	(10.21)	(14.58)	(7.847)	(9.950)	(50.72)
					
Observations	1,018	1,018	1,018	1,018	1,018
R-squared	0.042	0.028	0.033	0.037	0.062
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
