	(1)	(2)	(3)	(4)	(5)
	1	2	3	4	5
VARIABLES	netMig	netMig	netMig	netMig	netMig
					
lincShared	4.077***	4.077***	1.786***	2.894***	19.32***
	(0.694)	(0.694)	(0.611)	(0.649)	(5.373)
Constant	-45.85***	-45.85***	-19.99***	-32.43***	-202.9***
	(7.713)	(7.713)	(6.728)	(7.240)	(59.22)
					
Observations	1,018	1,018	1,018	1,018	1,018
R-squared	0.042	0.042	0.037	0.032	0.141
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
