skill,basePop,netMig,lr,lincShared
0,67544,5.500323,10.7192,11.04667
1,15942,2.921448,11.07296,11.04667
1,40619,.2991841,11.44503,11.21086
0,220090,2.789317,10.8801,11.21086
0,320207,1.549053,11.05975,11.58683
1,180615,2.118517,11.60736,11.58683
1,242521,.1063955,11.29321,11.39317
0,275358,-6.545545,10.71679,11.39317
1,157192,3.353044,11.64892,11.65117
0,245129,-4.365668,10.9005,11.65117
0,510034,-1.918885,10.91531,11.44882
1,291004,1.387325,11.43003,11.44882
0,121943,-31.4933,10.81503,11.20099
1,24431,-5.246833,11.4227,11.20099
0,58488,74.86053,10.80514,11.13303
1,9811,10.6107,11.42634,11.13303
1,405218,.5814929,11.65229,11.70511
0,595826,-5.589964,11.02854,11.70511
1,51777,-1.07687,11.3312,11.41061
0,96616,-5.230705,10.79533,11.41061
0,169744,-.2888601,10.76754,11.22917
1,45239,1.663852,11.15528,11.22917
1,11759,-1.161956,11.14189,10.99308
0,81532,3.301497,10.70253,10.99308
1,6293,2.008129,11.23324,11.03349
0,47339,-.3617243,10.73087,11.03349
1,72712,-1.006252,11.41533,11.09351
0,318840,-3.565555,10.69719,11.09351
0,153557,-2.863302,10.6407,10.95771
1,20403,-.1402621,11.21827,10.95771
1,7483,-.9449981,11.07572,11.03887
0,46697,-3.883352,10.827,11.03887
1,38250,-3.570073,11.16864,11.18797
0,80319,1.814977,10.73821,11.18797
0,263609,-3.181656,10.78362,11.11856
1,45601,-.5737202,11.48079,11.11856
0,681716,.1017261,10.89085,11.21883
1,140099,-.1764387,11.40092,11.21883
1,1337020,-.818898,11.38259,11.2783
0,3887074,-5.111814,10.7513,11.2783
1,132507,7.90581,11.44507,11.40264
0,358714,11.03577,10.89998,11.40264
1,,,,
0,,,,
0,1074440,-3.112261,10.98205,11.51263
1,477101,1.127846,11.56935,11.51263
1,328522,18.34384,11.3574,11.27425
0,1075023,40.83681,10.82895,11.27425
0,,,,
1,,,,
0,,,,
1,,,,
1,81008,.9019251,11.28808,11.22108
0,144177,5.241024,10.78351,11.22108
1,19638,.9743404,11.45383,11.20973
0,62982,5.961026,10.85486,11.20973
0,50517,2.063842,10.53361,10.85424
1,11261,1.439024,10.95416,10.85424
0,88237,5.311309,10.63216,10.93316
1,21943,.8731167,11.05348,10.93316
1,21076,1.938135,10.81615,10.95881
0,53635,3.961933,10.5805,10.95881
0,42112,-1.006958,10.71218,11.28051
1,29887,2.104196,11.15633,11.28051
0,822793,.8307235,10.94795,11.39645
1,475473,3.372575,11.44508,11.39645
0,179689,.2514046,10.76569,11.24365
1,88007,1.234236,11.37004,11.24365
1,10308,8.277926,10.91747,11.00015
0,33459,11.97478,10.73197,11.00015
0,69019,1.820793,11.04601,11.43594
1,28466,2.140842,11.60934,11.43594
0,54000,.0324343,11.13862,11.46383
1,26162,.9143983,11.53547,11.46383
1,14530,-1.461285,11.38168,11.28469
0,43638,-2.456677,11.00728,11.28469
0,34566,1.319056,11.05894,11.71627
1,45188,.6056123,11.80102,11.71627
1,16167,-1.46162,11.55045,11.45171
0,44998,-.0850159,11.15135,11.45171
0,40954,1.298891,10.9521,11.26934
1,13862,-2.38434,11.42971,11.26934
1,27280,2.301363,11.68931,11.57071
0,32641,2.047696,11.05063,11.57071
1,9074,-3.404405,11.30608,10.92143
0,56165,-8.732507,10.54278,10.92143
0,45080,1.108386,11.08533,11.49062
1,27097,-1.158264,11.62332,11.49062
1,12544,-2.137032,11.36858,11.22804
0,45574,1.672459,10.97452,11.22804
1,16704,1.561092,11.52666,11.35012
0,52094,1.816913,11.02171,11.35012
0,48428,-4.80646,10.89133,11.35641
1,23392,-2.674742,11.47764,11.35641
0,53200,1.003769,11.06054,11.47487
1,29588,1.768372,11.59707,11.47487
1,23732,.997671,11.69262,11.57677
0,39816,1.856864,11.14902,11.57677
1,17986,.1506825,11.52056,11.42335
0,49706,-1.338415,11.06954,11.42335
0,40092,.9939464,10.99544,11.4694
1,22185,-2.209483,11.53755,11.4694
0,45363,-.3797816,11.01412,11.41339
1,20201,-1.480996,11.52406,11.41339
1,24159,1.155066,11.53681,11.50187
0,36357,-.9336374,11.08567,11.50187
0,47061,-3.553164,10.84329,11.10769
1,9255,-1.525321,11.24561,11.10769
0,42641,-3.057245,10.6826,11.06472
1,21469,-5.911714,11.14157,11.06472
0,58449,-1.228879,11.09154,11.73897
1,44409,1.440821,11.89424,11.73897
0,60264,.3710925,11.06071,11.72455
1,45909,2.26988,11.89628,11.72455
1,78450,-.556959,12.13311,12.06746
0,56928,-2.650357,11.11628,12.06746
1,10350,-1.340342,10.95491,11.00164
0,60229,-2.867708,10.75643,11.00164
1,29171,.1220459,11.64582,11.64226
0,42933,-6.195218,11.05463,11.64226
0,174342,1.088665,11.05203,11.445
1,87814,-.770915,11.60137,11.445
0,49652,2.840793,10.77972,11.09283
1,13957,-1.699445,11.25464,11.09283
0,60686,9.277066,10.76187,11.08863
