year,stateabbrev,liInc,lvalue,dlpop,lagliInc,dliInc
1976,"DE",10.29653,,1.867571,10.04996,1.232848
1977,"DE",10.30537,,1.669106,9.977739,1.638169
1978,"DE",10.32086,,1.615839,9.962973,1.789451
1979,"DE",10.30825,,1.529665,9.980121,1.640668
1980,"DE",10.30766,11.72996,1.407013,9.991719,1.579685
1981,"DE",10.30442,,1.283998,9.983634,1.603947
1982,"DE",10.31459,,1.224527,10.01343,1.50578
1983,"DE",10.34293,,1.129847,10.03948,1.517277
1984,"DE",10.39147,,1.037154,10.07809,1.566901
1985,"DE",10.43171,,.9921408,10.13987,1.459212
1986,"DE",10.45571,,.9786558,10.14848,1.53615
1987,"DE",10.47925,,.9664345,10.16493,1.571569
1988,"DE",10.50543,,.9645462,10.19827,1.535783
1989,"DE",10.54682,,.9902573,10.224,1.614075
1990,"DE",10.52533,12.07707,.9805489,10.2102,1.575642
1991,"DE",10.52403,,.9470987,10.22936,1.473346
1992,"DE",10.51354,,.9574318,10.27807,1.177354
1993,"DE",10.50101,,.9935665,10.31836,.9132147
1994,"DE",10.50168,,1.036959,10.29209,1.047964
1995,"DE",10.51223,,1.073341,10.26665,1.227932
1996,"DE",10.53889,,1.115942,10.29653,1.21182
1997,"DE",10.54543,,1.168966,10.30537,1.200304
1998,"DE",10.59633,,1.218958,10.32086,1.377354
1999,"DE",10.59798,,1.289358,10.30825,1.448631
2000,"DE",10.62941,12.06576,1.39503,10.30766,1.608787
2001,"DE",10.6437,,1.445117,10.30442,1.696396
2002,"DE",10.65185,,1.483927,10.31459,1.686306
2003,"DE",10.64816,,1.504397,10.34293,1.526122
2004,"DE",10.68029,,1.531858,10.39147,1.444068
2005,"DE",10.68524,,1.562872,10.43171,1.267643
2006,"DE",10.70016,,1.571217,10.45571,1.222291
2007,"DE",10.70497,,1.569085,10.47925,1.128607
2008,"DE",10.68149,,1.555047,10.50543,.8803272
2009,"DE",10.63263,,1.517715,10.54682,.4290581
2010,"DE",10.63321,12.41236,1.477532,10.52533,.539422
1880,"FL",7.466169,,,,
1900,"FL",8.022634,,3.367901,7.466169,2.782321
1920,"FL",8.51973,,3.027978,8.022634,2.48548
1929,"FL",8.843537,,,,
1930,"FL",8.765415,10.59035,,,
1931,"FL",8.694426,,,,
1932,"FL",8.574535,,,,
1933,"FL",8.531646,,,,
1934,"FL",8.688074,,,,
1935,"FL",8.747047,,,,
1936,"FL",8.912092,,,,
1937,"FL",8.955286,,,,
1938,"FL",8.921458,,,,
1939,"FL",9.008082,,,,
1940,"FL",9.054646,10.50136,3.408775,8.51973,2.67458
1941,"FL",9.158248,,,,
1942,"FL",9.310802,,,,
1943,"FL",9.500526,,,,
1944,"FL",9.581849,,,,
1945,"FL",9.61249,,,,
1946,"FL",9.523645,,,,
1947,"FL",9.386571,,,,
1948,"FL",9.340179,,,,
1949,"FL",9.357778,,3.066101,8.843537,2.571201
1950,"FL",9.422836,11.05048,3.236208,8.765415,3.287106
1951,"FL",9.409812,,3.455677,8.694426,3.576932
1952,"FL",9.451343,,3.651271,8.574535,4.384036
1953,"FL",9.504711,,3.787017,8.531646,4.865327
1954,"FL",9.493206,,3.968029,8.688074,4.02566
1955,"FL",9.566849,,4.214296,8.747047,4.099007
1956,"FL",9.622132,,4.482975,8.912092,3.5502
1957,"FL",9.613847,,4.696565,8.955286,3.292804
1958,"FL",9.611971,,4.805064,8.921458,3.452563
1959,"FL",9.666737,,4.813461,9.008082,3.293271
1960,"FL",9.657068,11.42413,4.802599,9.054646,3.012114
1961,"FL",9.656056,,4.749217,9.158248,2.489042
1962,"FL",9.682878,,4.565907,9.310802,1.860375
1963,"FL",9.71012,,4.06332,9.500526,1.047969
1964,"FL",9.762716,,4.108129,9.581849,.904336
1965,"FL",9.807424,,4.308953,9.61249,.9746695
1966,"FL",9.849998,,4.51756,9.523645,1.631761
1967,"FL",9.900691,,4.497652,9.386571,2.570601
1968,"FL",9.969179,,4.572134,9.340179,3.144999
1969,"FL",10.03783,,4.559665,9.357778,3.400245
1970,"FL",10.07121,11.39902,4.451928,9.422836,3.241868
1971,"FL",10.09683,,4.385047,9.409812,3.435068
1972,"FL",10.15761,,4.339933,9.451343,3.531351
1973,"FL",10.20242,,4.366693,9.504711,3.488555
1974,"FL",10.16707,,4.320574,9.493206,3.369341
1975,"FL",10.13374,,4.120002,9.566849,2.834435
1976,"FL",10.15256,,3.824067,9.622132,2.652116
1977,"FL",10.18135,,3.547945,9.613847,2.837515
1978,"FL",10.22571,,3.395896,9.611971,3.06869
1979,"FL",10.2257,,3.389549,9.666737,2.794824
1980,"FL",10.2269,11.74553,3.381009,9.657068,2.849174
1981,"FL",10.24107,,3.323927,9.656056,2.925062
1982,"FL",10.23232,,3.257823,9.682878,2.747221
1983,"FL",10.27952,,3.235693,9.71012,2.846975
1984,"FL",10.31909,,3.234711,9.762716,2.781854
1985,"FL",10.34934,,3.226266,9.807424,2.709603
1986,"FL",10.38074,,3.239317,9.849998,2.653708
1987,"FL",10.39573,,3.266892,9.900691,2.475181
1988,"FL",10.4208,,3.243394,9.969179,2.258081
1989,"FL",10.45388,,3.217115,10.03783,2.080288
1990,"FL",10.43807,11.81601,3.21969,10.07121,1.834278
1991,"FL",10.41413,,3.120327,10.09683,1.586542
1992,"FL",10.41917,,2.980857,10.15761,1.307788
1993,"FL",10.4244,,2.817783,10.20242,1.109886
1994,"FL",10.4326,,2.688556,10.16707,1.327648
1995,"FL",10.4534,,2.659006,10.13374,1.598325
1996,"FL",10.46832,,2.677183,10.15256,1.578827
1997,"FL",10.48115,,2.677917,10.18135,1.498985
1998,"FL",10.52544,,2.641182,10.22571,1.498642
1999,"FL",10.53617,,2.546234,10.2257,1.552343
2000,"FL",10.56516,11.85386,2.445574,10.2269,1.691303
2001,"FL",10.56173,,2.364874,10.24107,1.603284
2002,"FL",10.5679,,2.330627,10.23232,1.677904
2003,"FL",10.57059,,2.292805,10.27952,1.455374
2004,"FL",10.62023,,2.279158,10.31909,1.505704
2005,"FL",10.64974,,2.2612,10.34934,1.501999
2006,"FL",10.67892,,2.213993,10.38074,1.490912
2007,"FL",10.69101,,2.129612,10.39573,1.476426
2008,"FL",10.66682,,2.045631,10.4208,1.230106
2009,"FL",10.60001,,1.946516,10.45388,.730629
2010,"FL",10.59617,12.30605,1.843252,10.43807,.7905436
1880,"GA",7.567586,,,,
1900,"GA",7.758634,,1.813278,7.567586,.9552383
1920,"GA",8.291779,,1.337099,7.758634,2.665722
1929,"GA",8.429908,,,,
1930,"GA",8.330079,10.58236,,,
1931,"GA",8.246311,,,,
1932,"GA",8.098239,,,,
1933,"GA",8.172096,,,,
1934,"GA",8.321157,,,,
1935,"GA",8.400052,,,,
1936,"GA",8.501652,,,,
1937,"GA",8.506491,,,,
1938,"GA",8.447269,,,,
1939,"GA",8.526621,,,,
1940,"GA",8.606007,10.37616,.3711987,8.291779,1.57114
1941,"GA",8.779745,,,,
1942,"GA",8.980653,,,,
1943,"GA",9.168036,,,,
1944,"GA",9.287188,,,,
1945,"GA",9.320213,,,,
1946,"GA",9.198864,,,,
1947,"GA",9.110489,,,,
1948,"GA",9.140463,,,,
1949,"GA",9.133345,,.6786251,8.429908,3.517184
1950,"GA",9.217505,10.81696,.862689,8.330079,4.437127
1951,"GA",9.267019,,.943141,8.246311,5.10354
1952,"GA",9.308685,,.9988642,8.098239,6.052232
1953,"GA",9.336617,,.9369659,8.172096,5.822606
1954,"GA",9.310024,,.9747505,8.321157,4.944334
1955,"GA",9.4055,,1.03693,8.400052,5.027242
1956,"GA",9.443808,,1.08676,8.501652,4.710779
1957,"GA",9.426062,,1.075716,8.506491,4.597855
1958,"GA",9.431228,,1.037793,8.447269,4.919791
1959,"GA",9.472238,,1.074524,8.526621,4.728084
1960,"GA",9.477812,11.20732,1.188607,8.606007,4.359026
1961,"GA",9.494581,,1.156359,8.779745,3.574181
1962,"GA",9.539403,,1.198692,8.980653,2.793751
1963,"GA",9.588839,,1.256399,9.168036,2.104015
1964,"GA",9.636131,,1.489553,9.287188,1.744719
1965,"GA",9.700723,,1.690907,9.320213,1.902547
1966,"GA",9.758265,,1.489286,9.198864,2.797008
1967,"GA",9.804506,,1.491628,9.110489,3.470087
1968,"GA",9.848637,,1.593246,9.140463,3.540869
1969,"GA",9.888192,,1.569386,9.133345,3.774238
1970,"GA",9.902855,11.37391,1.432719,9.217505,3.426752
1971,"GA",9.937285,,1.440825,9.267019,3.351331
1972,"GA",10.00304,,1.468124,9.308685,3.471775
1973,"GA",10.05033,,1.607261,9.336617,3.568583
1974,"GA",10.02566,,1.634607,9.310024,3.578191
1975,"GA",9.998985,,1.650963,9.4055,2.967424
1976,"GA",10.04074,,1.628761,9.443808,2.984676
1977,"GA",10.06407,,1.624532,9.426062,3.190026
1978,"GA",10.10517,,1.645184,9.431228,3.369694
1979,"GA",10.09427,,1.660213,9.472238,3.110156
1980,"GA",10.06142,11.54043,1.634984,9.477812,2.918048
1981,"GA",10.07401,,1.635303,9.494581,2.897139
1982,"GA",10.08093,,1.620259,9.539403,2.707629
1983,"GA",10.12748,,1.585073,9.588839,2.693195
1984,"GA",10.19751,,1.575327,9.636131,2.806888
1985,"GA",10.2343,,1.597419,9.700723,2.667875
1986,"GA",10.28008,,1.64474,9.758265,2.609062
1987,"GA",10.29757,,1.71247,9.804506,2.46532
1988,"GA",10.32557,,1.715193,9.848637,2.384691
1989,"GA",10.33643,,1.713433,9.888192,2.241178
1990,"GA",10.3367,11.7378,1.732526,9.902855,2.169242
1991,"GA",10.32617,,1.726613,9.937285,1.944408
1992,"GA",10.35175,,1.746721,10.00304,1.743546
1993,"GA",10.35953,,1.760731,10.05033,1.545973
1994,"GA",10.38715,,1.798515,10.02566,1.807418
1995,"GA",10.40938,,1.853409,9.998985,2.051983
1996,"GA",10.43838,,1.903448,10.04074,1.988173
1997,"GA",10.45547,,1.941814,10.06407,1.957016
1998,"GA",10.49578,,1.985731,10.10517,1.953073
1999,"GA",10.51556,,2.001953,10.09427,2.106452
2000,"GA",10.54648,11.90648,2.026138,10.06142,2.425318
2001,"GA",10.54624,,2.041979,10.07401,2.361135
2002,"GA",10.53668,,2.047095,10.08093,2.278781
2003,"GA",10.53193,,2.044992,10.12748,2.022281
2004,"GA",10.54784,,2.036934,10.19751,1.751657
2005,"GA",10.57018,,2.017236,10.2343,1.679416
2006,"GA",10.5696,,2.043104,10.28008,1.447601
2007,"GA",10.58675,,2.0473,10.29757,1.445875
2008,"GA",10.5587,,2.043467,10.32557,1.165619
2009,"GA",10.50745,,2.029495,10.33643,.8550882
2010,"GA",10.5024,12.02857,1.99842,10.3367,.828495
1880,"IA",8.238292,,,,
1900,"IA",8.620523,,1.587806,8.238292,1.911159
1920,"IA",8.775472,,.3715563,8.620523,.7747412
1929,"IA",8.940035,,,,
1930,"IA",8.83256,10.82504,,,
1931,"IA",8.692723,,,,
1932,"IA",8.494209,,,,
1933,"IA",8.39403,,,,
1934,"IA",8.436881,,,,
1935,"IA",8.849687,,,,
1936,"IA",8.767832,,,,
1937,"IA",9.006226,,,,
1938,"IA",8.895804,,,,
1939,"IA",8.948523,,,,
1940,"IA",8.995178,10.51701,.2691936,8.775472,1.098533
1941,"IA",9.145798,,,,
1942,"IA",9.357311,,,,
1943,"IA",9.504331,,,,
1944,"IA",9.468643,,,,
1945,"IA",9.530787,,,,
1946,"IA",9.576997,,,,
1947,"IA",9.419776,,,,
1948,"IA",9.638786,,,,
1949,"IA",9.475194,,.2342653,8.940035,2.675796
1950,"IA",9.586891,11.00531,.294199,8.83256,3.771658
1951,"IA",9.57806,,.2648211,8.692723,4.426684
1952,"IA",9.613711,,.2679062,8.494209,5.59751
1953,"IA",9.565345,,.2615738,8.39403,5.856576
1954,"IA",9.636074,,.2258968,8.436881,5.995965
1955,"IA",9.569793,,.2979898,8.849687,3.600531
1956,"IA",9.605329,,.3723907,8.767832,4.187484
1957,"IA",9.672394,,.4183483,9.006226,3.330841
1958,"IA",9.669016,,.4116106,8.895804,3.866057
1959,"IA",9.678763,,.3983784,8.948523,3.651204
1960,"IA",9.677891,11.24857,.4139948,8.995178,3.413563
1961,"IA",9.725422,,.5054808,9.145798,2.898121
1962,"IA",9.760247,,.5959654,9.357311,2.01468
1963,"IA",9.809923,,.8189154,9.504331,1.527963
1964,"IA",9.843383,,.8992434,9.468643,1.873698
1965,"IA",9.932375,,.8767176,9.530787,2.007937
1966,"IA",9.982183,,.5647612,9.576997,2.025933
1967,"IA",9.959339,,.5361605,9.419776,2.697816
1968,"IA",9.986116,,.4867315,9.638786,1.73665
1969,"IA",10.03984,,.4219484,9.475194,2.823248
1970,"IA",10.04059,11.32623,.3733921,9.586891,2.26851
1971,"IA",10.03511,,.4296589,9.57806,2.285242
1972,"IA",10.11461,,.4276848,9.613711,2.504511
1973,"IA",10.23865,,.428133,9.565345,3.366532
1974,"IA",10.16921,,.4406643,9.636074,2.665658
1975,"IA",10.18808,,.3642082,9.569793,3.091445
1976,"IA",10.18892,,.3582382,9.605329,2.917981
1977,"IA",10.22281,,.3523636,9.672394,2.75208
1978,"IA",10.29213,,.3751659,9.669016,3.115559
1979,"IA",10.25538,,.3327656,9.678763,2.883086
1980,"IA",10.19112,11.63599,.278759,9.677891,2.566133
1981,"IA",10.21725,,.2683973,9.725422,2.459135
1982,"IA",10.19341,,.2451468,9.760247,2.165813
1983,"IA",10.18748,,.219965,9.809923,1.887808
1984,"IA",10.25099,,.2009583,9.843383,2.038054
1985,"IA",10.25839,,.1573896,9.932375,1.630073
1986,"IA",10.28549,,.0539589,9.982183,1.516552
1987,"IA",10.30478,,-.0467491,9.959339,1.727195
1988,"IA",10.29226,,-.0621176,9.986116,1.530738
1989,"IA",10.32591,,-.061717,10.03984,1.430316
1990,"IA",10.32447,11.29737,-.0847101,10.04059,1.419401
1991,"IA",10.30326,,-.0959682,10.03511,1.340733
1992,"IA",10.33329,,-.0741482,10.11461,1.093359
1993,"IA",10.29907,,-.0474644,10.23865,.3021097
1994,"IA",10.35917,,-.0300694,10.16921,.9498262
1995,"IA",10.36211,,-.0244427,10.18808,.8701468
1996,"IA",10.41439,,-.0410986,10.18892,1.127343
1997,"IA",10.43296,,-.0399446,10.22281,1.050739
1998,"IA",10.46485,,-.0277138,10.29213,.8636189
1999,"IA",10.4684,,.0014257,10.25538,1.065116
2000,"IA",10.50149,11.60795,.0257587,10.19112,1.551857
2001,"IA",10.49602,,.0411177,10.21725,1.393833
2002,"IA",10.51258,,.0790834,10.19341,1.595826
2003,"IA",10.5098,,.1229334,10.18748,1.611595
2004,"IA",10.56275,,.1634979,10.25099,1.558776
2005,"IA",10.55261,,.2326393,10.25839,1.471109
2006,"IA",10.55952,,.3303146,10.28549,1.370111
2007,"IA",10.60005,,.4029179,10.30478,1.476355
2008,"IA",10.62478,,.4295397,10.29226,1.662583
2009,"IA",10.59162,,.4522467,10.32591,1.328578
2010,"IA",10.59257,11.70464,.4614305,10.32447,1.340489
1880,"ID",8.730795,,,,
1900,"ID",8.712549,,8.007846,8.730795,-.0912285
1920,"ID",8.832919,,4.909639,8.712549,.6018496
1929,"ID",8.805725,,,,
1930,"ID",8.806999,10.41752,,,
1931,"ID",8.612987,,,,
1932,"ID",8.402095,,,,
1933,"ID",8.289145,,,,
1934,"ID",8.797068,,,,
1935,"ID",8.788209,,,,
1936,"ID",8.943447,,,,
1937,"ID",8.806939,,,,
1938,"ID",8.828343,,,,
1939,"ID",8.866108,,,,
1940,"ID",8.919731,10.17475,.9477568,8.832919,.4340601
1941,"ID",9.124979,,,,
1942,"ID",9.452778,,,,
1943,"ID",9.508483,,,,
1944,"ID",9.556936,,,,
1945,"ID",9.568969,,,,
1946,"ID",9.546238,,,,
1947,"ID",9.469622,,,,
1948,"ID",9.444863,,,,
1949,"ID",9.411152,,1.215386,8.805725,3.027134
1950,"ID",9.43988,10.92838,1.38782,8.806999,3.164406
1951,"ID",9.483797,,1.301646,8.612987,4.354053
1952,"ID",9.560049,,1.229873,8.402095,5.789771
1953,"ID",9.491313,,1.251779,8.289145,6.010838
1954,"ID",9.490276,,1.18917,8.797068,3.466043
1955,"ID",9.517225,,1.253104,8.788209,3.645082
1956,"ID",9.584165,,1.189909,8.943447,3.203588
1957,"ID",9.584079,,1.180387,8.806939,3.885698
1958,"ID",9.570292,,1.152616,8.828343,3.709745
1959,"ID",9.603258,,1.159668,8.866108,3.685751
1960,"ID",9.588571,11.31689,1.255512,8.919731,3.344197
1961,"ID",9.616384,,1.546788,9.124979,2.457023
1962,"ID",9.662746,,1.81859,9.452778,1.049843
1963,"ID",9.683421,,1.569443,9.508483,.874691
1964,"ID",9.706417,,1.399345,9.556936,.7474041
1965,"ID",9.818812,,1.682363,9.568969,1.249218
1966,"ID",9.801365,,1.513968,9.546238,1.275635
1967,"ID",9.833998,,1.38061,9.469622,1.82188
1968,"ID",9.847033,,1.160884,9.444863,2.010846
1969,"ID",9.923857,,1.076975,9.411152,2.563524
1970,"ID",9.949102,11.33764,.9765434,9.43988,2.54611
1971,"ID",9.961435,,1.13266,9.483797,2.388191
1972,"ID",10.0298,,1.312671,9.560049,2.348752
1973,"ID",10.09507,,1.358461,9.491313,3.018775
1974,"ID",10.12361,,1.487994,9.490276,3.166671
1975,"ID",10.07643,,1.486607,9.517225,2.796011
1976,"ID",10.11084,,1.55437,9.584165,2.633376
1977,"ID",10.10811,,1.596208,9.584079,2.620163
1978,"ID",10.14769,,1.718512,9.570292,2.887011
1979,"ID",10.11249,,1.751657,9.603258,2.546144
1980,"ID",10.08823,11.75869,1.727834,9.588571,2.498307
1981,"ID",10.07239,,1.706343,9.616384,2.280049
1982,"ID",10.03828,,1.707687,9.662746,1.877666
1983,"ID",10.07782,,1.814799,9.683421,1.972013
1984,"ID",10.09719,,1.88231,9.706417,1.953883
1985,"ID",10.10746,,1.854558,9.818812,1.443238
1986,"ID",10.11286,,1.813436,9.801365,1.55746
1987,"ID",10.13104,,1.794248,9.833998,1.48519
1988,"ID",10.16863,,1.747003,9.847033,1.607966
1989,"ID",10.20672,,1.705651,9.923857,1.414294
1990,"ID",10.21838,11.53479,1.723161,9.949102,1.346393
1991,"ID",10.20319,,1.716413,9.961435,1.208749
1992,"ID",10.23692,,1.697145,10.0298,1.035609
1993,"ID",10.26699,,1.745362,10.09507,.8596277
1994,"ID",10.28255,,1.74377,10.12361,.7947063
1995,"ID",10.29615,,1.73594,10.07643,1.098623
1996,"ID",10.30983,,1.696143,10.11084,.9949732
1997,"ID",10.30816,,1.648674,10.10811,1.000237
1998,"ID",10.35167,,1.591296,10.14769,1.019859
1999,"ID",10.37535,,1.566072,10.11249,1.314311
2000,"ID",10.40134,11.86142,1.576724,10.08823,1.565561
2001,"ID",10.41223,,1.580663,10.07239,1.699185
2002,"ID",10.4111,,1.597896,10.03828,1.864119
2003,"ID",10.40422,,1.64134,10.07782,1.63198
2004,"ID",10.45662,,1.698999,10.09719,1.797109
2005,"ID",10.46642,,1.812048,10.10746,1.794815
2006,"ID",10.49121,,1.970916,10.11286,1.891785
2007,"ID",10.50543,,2.119894,10.13104,1.871958
2008,"ID",10.47876,,2.212653,10.16863,1.550651
2009,"ID",10.41369,,2.233543,10.20672,1.034865
2010,"ID",10.41808,12.06897,2.198453,10.21838,.9984732
1880,"IL",8.447664,,,,
1900,"IL",8.868462,,2.244287,8.447664,2.103987
1920,"IL",9.16067,,1.482196,8.868462,1.461043
1929,"IL",9.450705,,,,
1930,"IL",9.312704,11.29774,,,
1931,"IL",9.220857,,,,
1932,"IL",9.003157,,,,
1933,"IL",8.951398,,,,
1934,"IL",9.064812,,,,
1935,"IL",9.168661,,,,
1936,"IL",9.280365,,,,
1937,"IL",9.36054,,,,
1938,"IL",9.262487,,,,
1939,"IL",9.360625,,,,
1940,"IL",9.418985,10.89168,.9898043,9.16067,1.291575
1941,"IL",9.540956,,,,
1942,"IL",9.586202,,,,
1943,"IL",9.721728,,,,
1944,"IL",9.8019,,,,
1945,"IL",9.834933,,,,
1946,"IL",9.797167,,,,
1947,"IL",9.728018,,,,
1948,"IL",9.751246,,,,
1949,"IL",9.692007,,.6546545,9.450705,1.206512
1950,"IL",9.764196,11.31869,.6687975,9.312704,2.257462
1951,"IL",9.790645,,.6704187,9.220857,2.84894
1952,"IL",9.8027,,.732193,9.003157,3.997717
1953,"IL",9.850133,,.7720423,8.951398,4.493675
1954,"IL",9.82822,,.8715582,9.064812,3.817043
1955,"IL",9.874256,,.9534359,9.168661,3.527975
1956,"IL",9.937952,,.9760332,9.280365,3.287935
1957,"IL",9.932254,,1.037083,9.36054,2.858567
1958,"IL",9.891161,,1.14285,9.262487,3.143368
1959,"IL",9.93367,,1.177945,9.360625,2.865224
1960,"IL",9.938254,11.64388,1.218266,9.418985,2.596345
1961,"IL",9.961069,,1.183424,9.540956,2.100563
1962,"IL",9.99044,,1.220155,9.586202,2.021194
1963,"IL",10.00404,,1.461859,9.721728,1.411567
1964,"IL",10.04008,,1.577053,9.8019,1.190882
1965,"IL",10.09415,,1.699319,9.834933,1.296077
1966,"IL",10.13271,,1.415701,9.797167,1.677728
1967,"IL",10.15366,,1.357613,9.728018,2.128186
1968,"IL",10.17734,,1.25638,9.751246,2.130489
1969,"IL",10.20739,,1.207833,9.692007,2.576895
1970,"IL",10.20444,11.67691,1.207423,9.764196,2.201209
1971,"IL",10.22507,,1.214089,9.790645,2.172136
1972,"IL",10.27146,,1.143827,9.8027,2.343793
1973,"IL",10.32413,,1.08429,9.850133,2.369986
1974,"IL",10.31023,,.9881878,9.82822,2.41003
1975,"IL",10.30556,,.9046936,9.874256,2.15652
1976,"IL",10.3333,,.8783817,9.937952,1.976743
1977,"IL",10.36291,,.8267307,9.932254,2.153282
1978,"IL",10.38796,,.7275391,9.891161,2.483978
1979,"IL",10.37531,,.672121,9.93367,2.20818
1980,"IL",10.32828,11.91935,.6275177,9.938254,1.95014
1981,"IL",10.33136,,.6095886,9.961069,1.851449
1982,"IL",10.32903,,.5273247,9.99044,1.692953
1983,"IL",10.33939,,.4619408,10.00404,1.676736
1984,"IL",10.39227,,.3785515,10.04008,1.76095
1985,"IL",10.40779,,.320034,10.09415,1.568208
1986,"IL",10.43837,,.2480984,10.13271,1.528282
1987,"IL",10.45813,,.1988697,10.15366,1.522393
1988,"IL",10.49112,,.1765537,10.17734,1.568885
1989,"IL",10.50271,,.1651764,10.20739,1.476598
1990,"IL",10.50756,11.86412,.1455688,10.20444,1.515613
1991,"IL",10.48123,,.1594639,10.22507,1.280766
1992,"IL",10.5159,,.1900196,10.27146,1.222186
1993,"IL",10.50897,,.2381611,10.32413,.924201
1994,"IL",10.53082,,.2755928,10.31023,1.102958
1995,"IL",10.55133,,.3012276,10.30556,1.228862
1996,"IL",10.57683,,.3162479,10.3333,1.217647
1997,"IL",10.60236,,.3304863,10.36291,1.197267
1998,"IL",10.64276,,.3534031,10.38796,1.273994
1999,"IL",10.64982,,.3938866,10.37531,1.372557
2000,"IL",10.68086,12.06882,.4189777,10.32828,1.762867
2001,"IL",10.67062,,.4369259,10.33136,1.696286
2002,"IL",10.67166,,.4605293,10.32903,1.713166
2003,"IL",10.67609,,.4790592,10.33939,1.683493
2004,"IL",10.69784,,.4910469,10.39227,1.527886
2005,"IL",10.70318,,.504427,10.40779,1.476936
2006,"IL",10.72782,,.5234241,10.43837,1.447268
2007,"IL",10.75737,,.5421829,10.45813,1.496196
2008,"IL",10.7517,,.5627346,10.49112,1.302896
2009,"IL",10.69368,,.573616,10.50271,.9548759
2010,"IL",10.69179,12.25309,.5726624,10.50756,.9211397
1880,"IN",8.121928,,,,
1900,"IN",8.511478,,1.203074,8.121928,1.947751
1920,"IN",8.807091,,.7614088,8.511478,1.478062
1929,"IN",8.998474,,,,
1930,"IN",8.856248,10.82422,,,
1931,"IN",8.785501,,,,
1932,"IN",8.544514,,,,
1933,"IN",8.547878,,,,
1934,"IN",8.714328,,,,
1935,"IN",8.852302,,,,
1936,"IN",8.974676,,,,
1937,"IN",9.066871,,,,
1938,"IN",8.940241,,,,
1939,"IN",9.048821,,,,
1940,"IN",9.105371,10.58272,.7914972,8.807091,1.491404
1941,"IN",9.329779,,,,
1942,"IN",9.458071,,,,
1943,"IN",9.619682,,,,
1944,"IN",9.654886,,,,
1945,"IN",9.674622,,,,
1946,"IN",9.553278,,,,
1947,"IN",9.504255,,,,
1948,"IN",9.528678,,,,
1949,"IN",9.474966,,1.022482,8.998474,2.38246
1950,"IN",9.577238,10.99033,1.009097,8.856248,3.604951
1951,"IN",9.61799,,1.146021,8.785501,4.16244
1952,"IN",9.636428,,1.17239,8.544514,5.459571
1953,"IN",9.718513,,1.178279,8.547878,5.853171
1954,"IN",9.637122,,1.252723,8.714328,4.613972
1955,"IN",9.695349,,1.347938,8.852302,4.215236
1956,"IN",9.732478,,1.431689,8.974676,3.78901
1957,"IN",9.71652,,1.472011,9.066871,3.248248
1958,"IN",9.676608,,1.513519,8.940241,3.681836
1959,"IN",9.72496,,1.521106,9.048821,3.380694
1960,"IN",9.745105,11.27842,1.542902,9.105371,3.198667
1961,"IN",9.752389,,1.533027,9.329779,2.113051
1962,"IN",9.809582,,1.489344,9.458071,1.757555
1963,"IN",9.832311,,1.658869,9.619682,1.063142
1964,"IN",9.870427,,1.73099,9.654886,1.077704
1965,"IN",9.941873,,1.815987,9.674622,1.336255
1966,"IN",9.974504,,1.500473,9.553278,2.106128
1967,"IN",9.979905,,1.452613,9.504255,2.378249
1968,"IN",10.01459,,1.364026,9.528678,2.429571
1969,"IN",10.0473,,1.309485,9.474966,2.861686
1970,"IN",10.01815,11.31764,1.356802,9.577238,2.204537
1971,"IN",10.05015,,1.241012,9.61799,2.160783
1972,"IN",10.10136,,1.221747,9.636428,2.324638
1973,"IN",10.17646,,1.211987,9.718513,2.289734
1974,"IN",10.13658,,1.134338,9.637122,2.497301
1975,"IN",10.12277,,1.020694,9.695349,2.137108
1976,"IN",10.175,,.9320831,9.732478,2.212586
1977,"IN",10.20905,,.8841848,9.71652,2.46264
1978,"IN",10.23953,,.8630085,9.676608,2.814627
1979,"IN",10.22515,,.8564854,9.72496,2.500973
1980,"IN",10.16796,11.54853,.8052206,9.745105,2.114296
1981,"IN",10.16497,,.7363033,9.752389,2.062917
1982,"IN",10.14199,,.7185221,9.809582,1.66204
1983,"IN",10.15712,,.6364059,9.832311,1.624041
1984,"IN",10.21825,,.5846357,9.870427,1.73913
1985,"IN",10.23535,,.5179501,9.941873,1.467404
1986,"IN",10.26718,,.4356527,9.974504,1.463366
1987,"IN",10.28682,,.3992462,9.979905,1.534557
1988,"IN",10.3065,,.3768826,10.01459,1.45956
1989,"IN",10.337,,.3570366,10.0473,1.448503
1990,"IN",10.33046,11.45803,.3291559,10.01815,1.561565
1991,"IN",10.3125,,.3373814,10.05015,1.311774
1992,"IN",10.34965,,.3450727,10.10136,1.241484
1993,"IN",10.3605,,.3705072,10.17646,.920186
1994,"IN",10.3885,,.3983259,10.13658,1.259584
1995,"IN",10.39205,,.4469633,10.12277,1.346378
1996,"IN",10.40856,,.474267,10.175,1.167836
1997,"IN",10.42707,,.4846907,10.20905,1.090097
1998,"IN",10.47568,,.4830885,10.23953,1.18073
1999,"IN",10.48242,,.4952526,10.22515,1.286311
2000,"IN",10.50784,11.74163,.5194759,10.16796,1.699376
2001,"IN",10.5003,,.558219,10.16497,1.676641
2002,"IN",10.50048,,.5926228,10.14199,1.792469
2003,"IN",10.51273,,.6415939,10.15712,1.778064
2004,"IN",10.52845,,.6635857,10.21825,1.550975
2005,"IN",10.51907,,.6992245,10.23535,1.418571
2006,"IN",10.52781,,.7467651,10.26718,1.303148
2007,"IN",10.53676,,.7663679,10.28682,1.249733
