year,stateabbrev,lagliInc,dliInc,sid,highReg
1995,"PA",10.18012,1.412168,"PA",1
1996,"PA",10.21883,1.316419,"PA",1
1997,"PA",10.25087,1.279573,"PA",1
1998,"PA",10.27799,1.407084,"PA",1
1999,"PA",10.27176,1.505036,"PA",1
2000,"PA",10.23881,1.80655,"PA",1
2001,"PA",10.24103,1.748929,"PA",1
2002,"PA",10.24914,1.751428,"PA",1
2003,"PA",10.26423,1.69663,"PA",1
2004,"PA",10.3007,1.627545,"PA",1
2005,"PA",10.3269,1.50455,"PA",1
2006,"PA",10.35614,1.479015,"PA",1
2007,"PA",10.37472,1.539354,"PA",1
2008,"PA",10.40775,1.383858,"PA",1
2009,"PA",10.43654,1.082149,"PA",1
2010,"PA",10.4379,1.093121,"PA",1
2011,"PA",10.4379,1.093121,"PA",1
2012,"PA",10.4379,.2693405,"PA",1
1940,"RI",9.184119,1.182384,"RI",1
1941,"RI",,,"RI",1
1942,"RI",,,"RI",1
1943,"RI",,,"RI",1
1944,"RI",,,"RI",1
1945,"RI",,,"RI",1
1946,"RI",,,"RI",1
1947,"RI",,,"RI",1
1948,"RI",,,"RI",1
1949,"RI",9.371747,.5951071,"RI",1
1950,"RI",9.29192,1.535254,"RI",1
1951,"RI",9.283368,1.706209,"RI",1
1952,"RI",9.17657,2.282872,"RI",1
1953,"RI",9.201367,2.369289,"RI",1
1954,"RI",9.240924,2.107515,"RI",1
1955,"RI",9.291322,2.167344,"RI",1
1956,"RI",9.373675,1.786189,"RI",1
1957,"RI",9.366064,1.726837,"RI",1
1958,"RI",9.302825,2.072401,"RI",1
1959,"RI",9.385407,1.899519,"RI",1
1960,"RI",9.420596,1.757522,"RI",1
1961,"RI",9.589283,1.072388,"RI",1
1962,"RI",9.692193,.7792521,"RI",1
1963,"RI",9.677511,.9762383,"RI",1
1964,"RI",9.719186,.9714127,"RI",1
1965,"RI",9.700275,1.308622,"RI",1
1966,"RI",9.68535,1.649823,"RI",1
1967,"RI",9.613371,2.21055,"RI",1
1968,"RI",9.518394,2.85109,"RI",1
1969,"RI",9.490768,2.988019,"RI",1
1970,"RI",9.59897,2.484684,"RI",1
1971,"RI",9.62461,2.365479,"RI",1
1972,"RI",9.633144,2.533398,"RI",1
1973,"RI",9.675225,2.378645,"RI",1
1974,"RI",9.662427,2.335782,"RI",1
1975,"RI",9.724791,2.001829,"RI",1
1976,"RI",9.730913,2.141061,"RI",1
1977,"RI",9.711432,2.352171,"RI",1
1978,"RI",9.717305,2.409487,"RI",1
1979,"RI",9.765311,2.166085,"RI",1
1980,"RI",9.7721,2.13264,"RI",1
1981,"RI",9.803761,2.018218,"RI",1
1982,"RI",9.848043,1.860299,"RI",1
1983,"RI",9.872759,1.93367,"RI",1
1984,"RI",9.913468,1.995673,"RI",1
1985,"RI",9.962,1.90064,"RI",1
1986,"RI",10.01532,1.84454,"RI",1
1987,"RI",10.05548,1.760807,"RI",1
1988,"RI",10.08861,1.836481,"RI",1
1989,"RI",10.08837,1.999283,"RI",1
1990,"RI",10.09591,1.808634,"RI",1
1991,"RI",10.09771,1.633897,"RI",1
1992,"RI",10.13982,1.480627,"RI",1
1993,"RI",10.15095,1.461396,"RI",1
1994,"RI",10.12958,1.578436,"RI",1
1995,"RI",10.12516,1.71659,"RI",1
1996,"RI",10.15913,1.597614,"RI",1
1997,"RI",10.18187,1.635389,"RI",1
1998,"RI",10.1992,1.723232,"RI",1
1999,"RI",10.19853,1.762891,"RI",1
2000,"RI",10.19863,1.90414,"RI",1
2001,"RI",10.2074,2.000046,"RI",1
2002,"RI",10.2201,2.010088,"RI",1
2003,"RI",10.25949,1.901217,"RI",1
2004,"RI",10.3126,1.759267,"RI",1
2005,"RI",10.34213,1.625867,"RI",1
2006,"RI",10.38422,1.506944,"RI",1
2007,"RI",10.40764,1.554122,"RI",1
2008,"RI",10.45591,1.282134,"RI",1
2009,"RI",10.48823,.9841681,"RI",1
2010,"RI",10.45763,1.175342,"RI",1
2011,"RI",10.45763,1.175342,"RI",1
2012,"RI",10.45763,.2977695,"RI",1
1940,"SC",8.256138,1.325593,"SC",0
1941,"SC",,,"SC",0
1942,"SC",,,"SC",0
1943,"SC",,,"SC",0
1944,"SC",,,"SC",0
1945,"SC",,,"SC",0
1946,"SC",,,"SC",0
1947,"SC",,,"SC",0
1948,"SC",,,"SC",0
1949,"SC",8.180444,4.23739,"SC",0
1950,"SC",8.092112,4.924755,"SC",0
1951,"SC",8.021854,5.844855,"SC",0
1952,"SC",7.864915,6.881487,"SC",0
1953,"SC",8.012519,6.261115,"SC",0
1954,"SC",8.168166,5.154257,"SC",0
1955,"SC",8.239487,5.085297,"SC",0
1956,"SC",8.342291,4.622846,"SC",0
1957,"SC",8.364825,4.447665,"SC",0
1958,"SC",8.297387,4.755116,"SC",0
1959,"SC",8.411574,4.425735,"SC",0
1960,"SC",8.521256,3.9535,"SC",0
1961,"SC",8.720021,3.116822,"SC",0
1962,"SC",8.940412,2.295251,"SC",0
1963,"SC",9.05564,1.857724,"SC",0
1964,"SC",9.158895,1.619124,"SC",0
1965,"SC",9.164743,1.961017,"SC",0
1966,"SC",9.116209,2.590785,"SC",0
1967,"SC",8.998045,3.395596,"SC",0
1968,"SC",9.059087,3.353281,"SC",0
1969,"SC",9.027922,3.75031,"SC",0
1970,"SC",9.077063,3.625088,"SC",0
1971,"SC",9.190825,3.175278,"SC",0
1972,"SC",9.241213,3.244543,"SC",0
1973,"SC",9.264742,3.380857,"SC",0
1974,"SC",9.199018,3.700509,"SC",0
1975,"SC",9.256546,3.279881,"SC",0
1976,"SC",9.26686,3.47404,"SC",0
1977,"SC",9.254358,3.599668,"SC",0
1978,"SC",9.24841,3.793344,"SC",0
1979,"SC",9.296721,3.531775,"SC",0
1980,"SC",9.311956,3.331041,"SC",0
1981,"SC",9.343386,3.215446,"SC",0
1982,"SC",9.399462,2.903504,"SC",0
1983,"SC",9.427185,2.984195,"SC",0
1984,"SC",9.482719,3.032026,"SC",0
1985,"SC",9.556947,2.79283,"SC",0
1986,"SC",9.634366,2.567611,"SC",0
1987,"SC",9.677164,2.471018,"SC",0
1988,"SC",9.729743,2.365761,"SC",0
1989,"SC",9.777984,2.244887,"SC",0
1990,"SC",9.80208,2.157941,"SC",0
1991,"SC",9.825881,1.961174,"SC",0
1992,"SC",9.890121,1.718445,"SC",0
1993,"SC",9.940913,1.50207,"SC",0
1994,"SC",9.939119,1.640677,"SC",0
1995,"SC",9.912522,1.846223,"SC",0
1996,"SC",9.961668,1.700177,"SC",0
1997,"SC",9.974292,1.746488,"SC",0
1998,"SC",10.00708,1.798739,"SC",0
1999,"SC",10.00308,1.921349,"SC",0
2000,"SC",9.978165,2.194586,"SC",0
2001,"SC",9.986475,2.123294,"SC",0
2002,"SC",9.980163,2.156038,"SC",0
2003,"SC",10.02402,1.940665,"SC",0
2004,"SC",10.08912,1.736393,"SC",0
2005,"SC",10.11551,1.684022,"SC",0
2006,"SC",10.14789,1.604438,"SC",0
2007,"SC",10.17137,1.574783,"SC",0
2008,"SC",10.2029,1.357212,"SC",0
2009,"SC",10.22696,1.031656,"SC",0
2010,"SC",10.23367,.9956121,"SC",0
2011,"SC",10.23367,.9956121,"SC",0
2012,"SC",10.23367,.2308912,"SC",0
1940,"SD",8.729747,-.3151417,"SD",0
1941,"SD",,,"SD",0
1942,"SD",,,"SD",0
1943,"SD",,,"SD",0
1944,"SD",,,"SD",0
1945,"SD",,,"SD",0
1946,"SD",,,"SD",0
1947,"SD",,,"SD",0
1948,"SD",,,"SD",0
1949,"SD",8.618957,3.306999,"SD",0
1950,"SD",8.491321,4.611917,"SD",0
1951,"SD",8.194206,6.503139,"SD",0
1952,"SD",8.051826,6.51289,"SD",0
1953,"SD",7.766289,8.333996,"SD",0
1954,"SD",8.071019,6.832561,"SD",0
1955,"SD",8.530301,4.133172,"SD",0
1956,"SD",8.303944,5.475011,"SD",0
1957,"SD",8.531167,5.013247,"SD",0
1958,"SD",8.540403,5.030212,"SD",0
1959,"SD",8.62787,3.96493,"SD",0
1960,"SD",8.666718,4.624796,"SD",0
1961,"SD",8.890859,3.409352,"SD",0
1962,"SD",9.253662,2.124104,"SD",0
1963,"SD",9.311446,1.572428,"SD",0
1964,"SD",9.436502,.8146477,"SD",0
1965,"SD",9.516681,.9992123,"SD",0
1966,"SD",9.478031,1.508994,"SD",0
1967,"SD",9.453094,1.643314,"SD",0
1968,"SD",9.561625,1.264071,"SD",0
1969,"SD",9.280356,2.846894,"SD",0
1970,"SD",9.413704,2.306457,"SD",0
1971,"SD",9.494834,2.093134,"SD",0
1972,"SD",9.354403,3.323674,"SD",0
1973,"SD",9.433088,3.807054,"SD",0
1974,"SD",9.437531,3.27251,"SD",0
1975,"SD",9.356936,3.715329,"SD",0
1976,"SD",9.398946,3.131623,"SD",0
1977,"SD",9.533816,2.772155,"SD",0
1978,"SD",9.546446,3.040147,"SD",0
1979,"SD",9.420856,3.624034,"SD",0
1980,"SD",9.591678,2.133741,"SD",0
1981,"SD",9.572729,2.515535,"SD",0
1982,"SD",9.678483,1.964679,"SD",0
1983,"SD",9.625932,2.240763,"SD",0
1984,"SD",9.599431,2.76875,"SD",0
1985,"SD",9.716523,2.125983,"SD",0
1986,"SD",9.77983,1.945219,"SD",0
1987,"SD",9.781757,2.022524,"SD",0
1988,"SD",9.814439,1.842413,"SD",0
1989,"SD",9.849735,1.79234,"SD",0
1990,"SD",9.874995,1.865816,"SD",0
1991,"SD",9.913461,1.647887,"SD",0
1992,"SD",10.01914,1.283474,"SD",0
1993,"SD",10.1945,.4004431,"SD",0
1994,"SD",10.09203,1.118817,"SD",0
1995,"SD",10.1,.9666538,"SD",0
1996,"SD",10.02527,1.694651,"SD",0
1997,"SD",10.08825,1.360726,"SD",0
1998,"SD",10.15448,1.312866,"SD",0
1999,"SD",10.14566,1.470098,"SD",0
2000,"SD",10.01843,2.254486,"SD",0
2001,"SD",10.07584,2.093205,"SD",0
2002,"SD",10.07142,2.079263,"SD",0
2003,"SD",10.07408,2.3668,"SD",0
2004,"SD",10.15318,2.157431,"SD",0
2005,"SD",10.14172,2.222757,"SD",0
2006,"SD",10.16887,1.986961,"SD",0
2007,"SD",10.18626,2.226877,"SD",0
2008,"SD",10.18292,2.462831,"SD",0
2009,"SD",10.2082,2.071805,"SD",0
2010,"SD",10.24816,1.916332,"SD",0
2011,"SD",10.24816,1.916332,"SD",0
2012,"SD",10.24816,.4470158,"SD",0
1940,"TN",8.329226,1.434507,"TN",0
1941,"TN",,,"TN",0
1942,"TN",,,"TN",0
1943,"TN",,,"TN",0
1944,"TN",,,"TN",0
1945,"TN",,,"TN",0
1946,"TN",,,"TN",0
1947,"TN",,,"TN",0
1948,"TN",,,"TN",0
1949,"TN",8.51574,2.997947,"TN",0
1950,"TN",8.390209,3.956265,"TN",0
1951,"TN",8.319627,4.372745,"TN",0
1952,"TN",8.083506,5.704341,"TN",0
1953,"TN",8.169451,5.637918,"TN",0
1954,"TN",8.324578,4.817877,"TN",0
1955,"TN",8.383497,4.745326,"TN",0
1956,"TN",8.511358,4.381719,"TN",0
1957,"TN",8.569643,4.115343,"TN",0
1958,"TN",8.481967,4.578452,"TN",0
1959,"TN",8.534979,4.553313,"TN",0
1960,"TN",8.616127,4.123392,"TN",0
1961,"TN",8.819294,3.274078,"TN",0
1962,"TN",8.969582,2.702351,"TN",0
1963,"TN",9.172585,1.850262,"TN",0
1964,"TN",9.325753,1.313949,"TN",0
1965,"TN",9.356556,1.478143,"TN",0
1966,"TN",9.229276,2.429409,"TN",0
1967,"TN",9.115501,3.144741,"TN",0
1968,"TN",9.115826,3.455491,"TN",0
1969,"TN",9.11533,3.549681,"TN",0
1970,"TN",9.181462,3.298221,"TN",0
1971,"TN",9.194176,3.417401,"TN",0
1972,"TN",9.224374,3.608298,"TN",0
1973,"TN",9.297034,3.542619,"TN",0
1974,"TN",9.288154,3.510489,"TN",0
1975,"TN",9.332562,3.202834,"TN",0
1976,"TN",9.387702,3.161364,"TN",0
1977,"TN",9.392712,3.266711,"TN",0
1978,"TN",9.397657,3.473291,"TN",0
1979,"TN",9.445642,3.176847,"TN",0
1980,"TN",9.440805,2.994266,"TN",0
1981,"TN",9.47411,2.852068,"TN",0
1982,"TN",9.510052,2.679672,"TN",0
1983,"TN",9.542637,2.657495,"TN",0
1984,"TN",9.588543,2.732964,"TN",0
1985,"TN",9.652184,2.553668,"TN",0
1986,"TN",9.715158,2.443223,"TN",0
1987,"TN",9.74445,2.440109,"TN",0
1988,"TN",9.806924,2.285633,"TN",0
1989,"TN",9.825266,2.265196,"TN",0
1990,"TN",9.841106,2.188139,"TN",0
1991,"TN",9.877656,1.996789,"TN",0
1992,"TN",9.946033,1.866193,"TN",0
1993,"TN",10.00556,1.633406,"TN",0
1994,"TN",9.990252,1.823988,"TN",0
1995,"TN",9.973129,2.023525,"TN",0
1996,"TN",10.01997,1.827059,"TN",0
1997,"TN",10.04605,1.781554,"TN",0
1998,"TN",10.09232,1.774278,"TN",0
1999,"TN",10.08101,1.903796,"TN",0
2000,"TN",10.03966,2.198639,"TN",0
2001,"TN",10.04452,2.193131,"TN",0
2002,"TN",10.04599,2.21704,"TN",0
2003,"TN",10.07414,2.117305,"TN",0
2004,"TN",10.13514,1.926618,"TN",0
2005,"TN",10.16292,1.810379,"TN",0
2006,"TN",10.2038,1.653252,"TN",0
2007,"TN",10.23247,1.606421,"TN",0
2008,"TN",10.26405,1.369443,"TN",0
2009,"TN",10.27831,1.104536,"TN",0
2010,"TN",10.27873,1.140471,"TN",0
2011,"TN",10.27873,1.140471,"TN",0
2012,"TN",10.27873,.2456656,"TN",0
1940,"TX",8.729844,.7178688,"TX",0
1941,"TX",,,"TX",0
1942,"TX",,,"TX",0
1943,"TX",,,"TX",0
1944,"TX",,,"TX",0
1945,"TX",,,"TX",0
1946,"TX",,,"TX",0
1947,"TX",,,"TX",0
1948,"TX",,,"TX",0
1949,"TX",8.75818,3.35547,"TX",0
1950,"TX",8.632893,4.160824,"TX",0
1951,"TX",8.556177,4.610353,"TX",0
1952,"TX",8.390092,5.59401,"TX",0
1953,"TX",8.407231,5.577197,"TX",0
1954,"TX",8.516614,5.102396,"TX",0
1955,"TX",8.600984,4.91118,"TX",0
1956,"TX",8.720546,4.491773,"TX",0
1957,"TX",8.802293,4.111195,"TX",0
1958,"TX",8.788381,4.098425,"TX",0
1959,"TX",8.83403,4.026942,"TX",0
1960,"TX",8.873418,3.767061,"TX",0
1961,"TX",9.012036,3.193831,"TX",0
1962,"TX",9.218841,2.238059,"TX",0
1963,"TX",9.43275,1.276846,"TX",0
1964,"TX",9.517819,1.079144,"TX",0
1965,"TX",9.508682,1.357393,"TX",0
1966,"TX",9.41298,2.079186,"TX",0
1967,"TX",9.366945,2.549305,"TX",0
1968,"TX",9.345243,2.899642,"TX",0
1969,"TX",9.429274,2.623854,"TX",0
1970,"TX",9.465057,2.545614,"TX",0
1971,"TX",9.478248,2.54921,"TX",0
1972,"TX",9.508894,2.65521,"TX",0
1973,"TX",9.522671,2.833624,"TX",0
1974,"TX",9.537093,2.758369,"TX",0
1975,"TX",9.58322,2.612472,"TX",0
1976,"TX",9.6189,2.657666,"TX",0
1977,"TX",9.624532,2.763848,"TX",0
1978,"TX",9.608066,3.097591,"TX",0
1979,"TX",9.639419,2.988873,"TX",0
1980,"TX",9.62683,2.974377,"TX",0
1981,"TX",9.650803,3.049254,"TX",0
1982,"TX",9.666452,2.949162,"TX",0
1983,"TX",9.688119,2.840185,"TX",0
1984,"TX",9.733648,2.801471,"TX",0
1985,"TX",9.780161,2.66058,"TX",0
1986,"TX",9.828817,2.350802,"TX",0
1987,"TX",9.876806,2.026153,"TX",0
1988,"TX",9.925172,1.848345,"TX",0
1989,"TX",9.954044,1.761508,"TX",0
1990,"TX",9.97418,1.725602,"TX",0
1991,"TX",9.98809,1.593494,"TX",0
1992,"TX",10.03994,1.460333,"TX",0
1993,"TX",10.0894,1.235394,"TX",0
1994,"TX",10.08877,1.30126,"TX",0
1995,"TX",10.10571,1.297197,"TX",0
1996,"TX",10.15043,1.202722,"TX",0
1997,"TX",10.1773,1.292095,"TX",0
1998,"TX",10.22758,1.2813,"TX",0
1999,"TX",10.23719,1.32175,"TX",0
2000,"TX",10.22171,1.61778,"TX",0
2001,"TX",10.26065,1.400504,"TX",0
2002,"TX",10.25628,1.306162,"TX",0
2003,"TX",10.25616,1.306238,"TX",0
2004,"TX",10.29394,1.267738,"TX",0
2005,"TX",10.31228,1.356969,"TX",0
2006,"TX",10.29898,1.52987,"TX",0
2007,"TX",10.28204,1.762147,"TX",0
2008,"TX",10.29484,1.828046,"TX",0
2009,"TX",10.30635,1.342483,"TX",0
2010,"TX",10.3193,1.316433,"TX",0
2011,"TX",10.3193,1.316433,"TX",0
2012,"TX",10.3193,.3284988,"TX",0
1940,"UT",8.761631,1.019506,"UT",0
1941,"UT",,,"UT",0
1942,"UT",,,"UT",0
1943,"UT",,,"UT",0
1944,"UT",,,"UT",0
1945,"UT",,,"UT",0
1946,"UT",,,"UT",0
1947,"UT",,,"UT",0
1948,"UT",,,"UT",0
1949,"UT",8.899163,2.517152,"UT",0
1950,"UT",8.818931,3.189611,"UT",0
1951,"UT",8.626097,4.460893,"UT",0
1952,"UT",8.527082,5.026665,"UT",0
1953,"UT",8.555061,4.866796,"UT",0
1954,"UT",8.57871,4.615426,"UT",0
1955,"UT",8.77601,3.939176,"UT",0
1956,"UT",8.931405,3.362856,"UT",0
1957,"UT",8.861732,3.836203,"UT",0
1958,"UT",8.87863,3.675237,"UT",0
1959,"UT",8.923103,3.62793,"UT",0
1960,"UT",8.965532,3.493371,"UT",0
1961,"UT",9.129551,2.755809,"UT",0
1962,"UT",9.421178,1.573114,"UT",0
1963,"UT",9.609101,.6771135,"UT",0
1964,"UT",9.520649,1.28036,"UT",0
1965,"UT",9.564401,1.185737,"UT",0
1966,"UT",9.457644,1.806211,"UT",0
1967,"UT",9.396098,2.185669,"UT",0
1968,"UT",9.3854,2.352896,"UT",0
1969,"UT",9.402594,2.357507,"UT",0
1970,"UT",9.456853,2.244892,"UT",0
1971,"UT",9.518275,2.092762,"UT",0
1972,"UT",9.532415,2.287259,"UT",0
1973,"UT",9.52842,2.4227,"UT",0
1974,"UT",9.501795,2.498894,"UT",0
1975,"UT",9.563845,2.191072,"UT",0
1976,"UT",9.603976,2.242708,"UT",0
1977,"UT",9.628972,2.289867,"UT",0
1978,"UT",9.613677,2.532082,"UT",0
1979,"UT",9.648689,2.31596,"UT",0
1980,"UT",9.664207,2.035809,"UT",0
1981,"UT",9.680713,1.941857,"UT",0
1982,"UT",9.735801,1.681614,"UT",0
1983,"UT",9.744524,1.750164,"UT",0
1984,"UT",9.776721,1.773577,"UT",0
1985,"UT",9.801548,1.712632,"UT",0
1986,"UT",9.818887,1.697364,"UT",0
1987,"UT",9.833232,1.578469,"UT",0
1988,"UT",9.855979,1.459737,"UT",0
1989,"UT",9.874095,1.421475,"UT",0
1990,"UT",9.905831,1.314425,"UT",0
1991,"UT",9.936828,1.16168,"UT",0
1992,"UT",9.989867,.9555864,"UT",0
1993,"UT",10.01296,.9080458,"UT",0
1994,"UT",10.00157,1.10744,"UT",0
1995,"UT",10.00206,1.236053,"UT",0
1996,"UT",10.05252,1.131763,"UT",0
1997,"UT",10.08695,1.115685,"UT",0
1998,"UT",10.12009,1.14749,"UT",0
1999,"UT",10.11188,1.246762,"UT",0
2000,"UT",10.07137,1.615429,"UT",0
2001,"UT",10.06908,1.706481,"UT",0
2002,"UT",10.07212,1.639352,"UT",0
2003,"UT",10.09456,1.47193,"UT",0
2004,"UT",10.13144,1.417775,"UT",0
2005,"UT",10.14407,1.536679,"UT",0
2006,"UT",10.15836,1.590972,"UT",0
2007,"UT",10.14893,1.806135,"UT",0
2008,"UT",10.14793,1.792126,"UT",0
2009,"UT",10.15839,1.412325,"UT",0
2010,"UT",10.16872,1.322336,"UT",0
2011,"UT",10.16872,1.322336,"UT",0
2012,"UT",10.16872,.2943296,"UT",0
1940,"VA",8.480721,2.292509,"VA",0
1941,"VA",,,"VA",0
1942,"VA",,,"VA",0
1943,"VA",,,"VA",0
1944,"VA",,,"VA",0
1945,"VA",,,"VA",0
1946,"VA",,,"VA",0
1947,"VA",,,"VA",0
1948,"VA",,,"VA",0
1949,"VA",8.660867,3.137078,"VA",0
1950,"VA",8.565384,4.087214,"VA",0
1951,"VA",8.616374,4.06837,"VA",0
1952,"VA",8.458613,5.066948,"VA",0
1953,"VA",8.512091,4.837422,"VA",0
1954,"VA",8.602304,4.419737,"VA",0
1955,"VA",8.671206,4.352722,"VA",0
1956,"VA",8.76506,4.036741,"VA",0
1957,"VA",8.809649,3.72654,"VA",0
1958,"VA",8.748841,3.969698,"VA",0
1959,"VA",8.852212,3.688817,"VA",0
1960,"VA",8.939222,3.309016,"VA",0
1961,"VA",9.111737,2.57463,"VA",0
1962,"VA",9.307959,1.82797,"VA",0
1963,"VA",9.320422,1.925793,"VA",0
1964,"VA",9.368572,2.026901,"VA",0
1965,"VA",9.399798,2.110925,"VA",0
1966,"VA",9.37058,2.462659,"VA",0
1967,"VA",9.24787,3.321443,"VA",0
1968,"VA",9.293248,3.354921,"VA",0
1969,"VA",9.288282,3.61311,"VA",0
1970,"VA",9.382827,3.176889,"VA",0
1971,"VA",9.430048,3.105965,"VA",0
1972,"VA",9.472003,3.199739,"VA",0
1973,"VA",9.479575,3.373466,"VA",0
1974,"VA",9.486252,3.308382,"VA",0
1975,"VA",9.541751,3.009224,"VA",0
1976,"VA",9.572409,3.047061,"VA",0
1977,"VA",9.554956,3.288107,"VA",0
1978,"VA",9.542781,3.530936,"VA",0
1979,"VA",9.589975,3.302507,"VA",0
1980,"VA",9.601026,3.222122,"VA",0
1981,"VA",9.626663,3.128562,"VA",0
1982,"VA",9.673553,2.967672,"VA",0
1983,"VA",9.705581,3.007526,"VA",0
1984,"VA",9.773952,2.932792,"VA",0
1985,"VA",9.821983,2.851014,"VA",0
1986,"VA",9.863111,2.840781,"VA",0
1987,"VA",9.912159,2.716665,"VA",0
1988,"VA",9.964232,2.605042,"VA",0
1989,"VA",10.0109,2.444253,"VA",0
1990,"VA",10.0182,2.319565,"VA",0
1991,"VA",10.05124,2.103648,"VA",0
1992,"VA",10.11195,1.859531,"VA",0
1993,"VA",10.15427,1.670132,"VA",0
1994,"VA",10.14793,1.778817,"VA",0
1995,"VA",10.1436,1.833234,"VA",0
1996,"VA",10.18182,1.696653,"VA",0
1997,"VA",10.21258,1.686997,"VA",0
1998,"VA",10.24897,1.701813,"VA",0
1999,"VA",10.25048,1.830463,"VA",0
2000,"VA",10.24545,2.019715,"VA",0
2001,"VA",10.25238,2.093215,"VA",0
2002,"VA",10.26709,2.014647,"VA",0
2003,"VA",10.30709,1.890373,"VA",0
2004,"VA",10.36051,1.78328,"VA",0
2005,"VA",10.39219,1.746411,"VA",0
2006,"VA",10.43127,1.645308,"VA",0
2007,"VA",10.45549,1.663361,"VA",0
2008,"VA",10.48524,1.467304,"VA",0
2009,"VA",10.49975,1.222391,"VA",0
2010,"VA",10.48212,1.302075,"VA",0
2011,"VA",10.48212,1.302075,"VA",0
2012,"VA",10.48212,.3029222,"VA",0
1940,"VT",8.801349,1.184115,"VT",1
1941,"VT",,,"VT",1
1942,"VT",,,"VT",1
1943,"VT",,,"VT",1
1944,"VT",,,"VT",1
1945,"VT",,,"VT",1
1946,"VT",,,"VT",1
1947,"VT",,,"VT",1
1948,"VT",,,"VT",1
1949,"VT",9.039124,1.18979,"VT",1
1950,"VT",8.965036,1.696315,"VT",1
1951,"VT",8.864557,2.496471,"VT",1
1952,"VT",8.70334,3.372779,"VT",1
1953,"VT",8.683232,3.619742,"VT",1
1954,"VT",8.776876,3.191633,"VT",1
1955,"VT",8.837188,3.144884,"VT",1
1956,"VT",8.948631,2.930961,"VT",1
1957,"VT",8.945899,2.974143,"VT",1
1958,"VT",8.906749,3.078594,"VT",1
1959,"VT",8.992765,2.884693,"VT",1
1960,"VT",9.038172,2.832265,"VT",1
1961,"VT",9.210063,2.108865,"VT",1
1962,"VT",9.291718,1.853299,"VT",1
1963,"VT",9.418994,1.287441,"VT",1
1964,"VT",9.424879,1.510973,"VT",1
1965,"VT",9.484057,1.532416,"VT",1
1966,"VT",9.453446,2.068572,"VT",1
1967,"VT",9.351625,2.703791,"VT",1
1968,"VT",9.332503,2.998986,"VT",1
1969,"VT",9.277081,3.408999,"VT",1
1970,"VT",9.304299,3.34404,"VT",1
1971,"VT",9.363852,3.130693,"VT",1
1972,"VT",9.377895,3.295679,"VT",1
1973,"VT",9.407181,3.268867,"VT",1
1974,"VT",9.415203,3.053594,"VT",1
1975,"VT",9.466165,2.70771,"VT",1
1976,"VT",9.534823,2.581434,"VT",1
1977,"VT",9.540728,2.578826,"VT",1
1978,"VT",9.522468,2.934246,"VT",1
1979,"VT",9.569704,2.687955,"VT",1
1980,"VT",9.604625,2.396116,"VT",1
1981,"VT",9.631836,2.345805,"VT",1
1982,"VT",9.662377,2.231684,"VT",1
1983,"VT",9.676482,2.288184,"VT",1
1984,"VT",9.727074,2.281523,"VT",1
1985,"VT",9.790541,2.147422,"VT",1
1986,"VT",9.867161,1.997437,"VT",1
1987,"VT",9.892384,2.051668,"VT",1
1988,"VT",9.932301,1.998405,"VT",1
1989,"VT",9.958881,2.046189,"VT",1
1990,"VT",9.973107,1.840754,"VT",1
1991,"VT",9.98999,1.61387,"VT",1
1992,"VT",10.03703,1.521716,"VT",1
1993,"VT",10.06095,1.386132,"VT",1
1994,"VT",10.02592,1.63866,"VT",1
1995,"VT",10.00771,1.784153,"VT",1
1996,"VT",10.05111,1.664619,"VT",1
1997,"VT",10.05649,1.759005,"VT",1
1998,"VT",10.10932,1.782341,"VT",1
1999,"VT",10.1073,1.946349,"VT",1
2000,"VT",10.08385,2.25246,"VT",1
2001,"VT",10.101,2.248511,"VT",1
2002,"VT",10.10871,2.21849,"VT",1
2003,"VT",10.13412,2.13728,"VT",1
2004,"VT",10.18338,2.059722,"VT",1
2005,"VT",10.22003,1.832776,"VT",1
2006,"VT",10.26665,1.773047,"VT",1
2007,"VT",10.30272,1.755185,"VT",1
2008,"VT",10.33198,1.604242,"VT",1
2009,"VT",10.36812,1.351252,"VT",1
2010,"VT",10.34126,1.514192,"VT",1
2011,"VT",10.34126,1.514192,"VT",1
2012,"VT",10.34126,.3628807,"VT",1
1940,"WA",9.087095,.9852171,"WA",1
1941,"WA",,,"WA",1
1942,"WA",,,"WA",1
1943,"WA",,,"WA",1
1944,"WA",,,"WA",1
1945,"WA",,,"WA",1
1946,"WA",,,"WA",1
1947,"WA",,,"WA",1
1948,"WA",,,"WA",1
1949,"WA",9.199384,2.176509,"WA",1
1950,"WA",9.103496,2.985449,"WA",1
1951,"WA",8.989257,3.605633,"WA",1
1952,"WA",8.808125,4.676008,"WA",1
1953,"WA",8.793156,4.943457,"WA",1
1954,"WA",8.926263,4.266257,"WA",1
1955,"WA",9.007565,3.97017,"WA",1
1956,"WA",9.143443,3.351588,"WA",1
1957,"WA",9.160453,3.306813,"WA",1
1958,"WA",9.150125,3.229132,"WA",1
1959,"WA",9.220995,3.056955,"WA",1
1960,"WA",9.284139,2.770176,"WA",1
1961,"WA",9.506339,1.808362,"WA",1
1962,"WA",9.728935,.9290791,"WA",1
1963,"WA",9.875968,.2291918,"WA",1
1964,"WA",9.897542,.2775288,"WA",1
1965,"WA",9.801629,1.044879,"WA",1
1966,"WA",9.704464,1.865749,"WA",1
1967,"WA",9.639328,2.307749,"WA",1
1968,"WA",9.63982,2.480927,"WA",1
1969,"WA",9.634686,2.56866,"WA",1
